Bike Name,Price (₹),Provider
TVS Apache 200,468,Royal Brothers
Yamaha FZ,468,Royal Brothers
Royal Enfield Thunderbird 350,600,Royal Brothers
Honda Dio (BS6),504,Royal Brothers
Honda Dio 125,624,Royal Brothers
Yamaha Ray ZR,672,Royal Brothers
Yamaha Fascino (BS6),648,Royal Brothers
Bajaj Avenger Street 220,504,Royal Brothers
TVS Ntorq 125 (BS6),648,Royal Brothers
Royal Enfield Hunter 350,1368,Royal Brothers
Honda Activa 125 (BS6),672,Royal Brothers
Honda Hornet 2.0,1104,Royal Brothers
Honda Dio,264,Royal Brothers
Hero XPulse (BS6),1224,Royal Brothers
Bajaj Avenger Cruise 220 (BS6),1056,Royal Brothers
Honda Activa 5G,264,Royal Brothers
Honda Activa 6G,528,Royal Brothers
Royal Enfield Classic 350,600,Royal Brothers
Bajaj Pulsar 250N (BS6),888,Royal Brothers
Royal Enfield Thunderbird 350x,₹1300,Screaming Eagle Co
TVS Ntorq 125,₹600,Screaming Eagle Co
Suzuki Avani 125cc,₹600,Screaming Eagle Co
Apache RTR 160,₹900,Screaming Eagle Co
Activa 125cc,₹600,Screaming Eagle Co
Honda Dio 110cc,₹500,Screaming Eagle Co
vs Jupiter Zx Disc Scooter,₹500,Screaming Eagle Co
yamaha Fz 150,₹1000,Screaming Eagle Co
aprilla sr 150,₹600,Screaming Eagle Co
yamaha fascino 110cc,₹500,Screaming Eagle Co
yamaha Ray ZR 125cc,₹600,Screaming Eagle Co
Honda Activa125cc,₹600,Screaming Eagle Co
Suzuki Burgman,₹600,Screaming Eagle Co
Honda Activa,₹500,Screaming Eagle Co
Suzuki Access 125 with mobile holder,₹500,srmbikes
Suzuki Burgman 125 with mobile holder,₹600,srmbikes
Honda Active 4G 110 with mobile holder,₹500,srmbikes
Honda Active 6G 125 with mobile holder,₹600,srmbikes
TVS Jupiter 125 with mobile holder,₹700,srmbikes
TVS Ntorq 125 with mobile holder,₹800,srmbikes
Suzuki Avenis 125 with mobile holder,₹700,srmbikes
Honda Activa,₹500,TopGear Bike Rentals
Honda Activa 6G,₹800,TopGear Bike Rentals
Classic 350,₹1500,TopGear Bike Rentals
Avenger 220,₹1200,TopGear Bike Rentals
Yamaha FZ V1.0,₹800,TopGear Bike Rentals
Honda Hornet,₹1000,TopGear Bike Rentals
Yamaha FZ V 2.0,₹1000,TopGear Bike Rentals
Honda Activa 5G,₹600,TopGear Bike Rentals
TVS Ntorq 110,₹500,TopGear Bike Rentals
